  PID TTY           TIME CMD
58422 ??         0:11.52 /private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/9F9ACA3F-BEF3-41E3-B044-F3BB2DF98A66/d/GitHub Desktop.app/Contents/Frameworks/GitHub Desktop Helper (Renderer).app/Contents/MacOS/GitHub Desktop Helper (Renderer) --type=renderer --field-trial-handle=1718379636,6030615262668950260,6736601879418272298,131072 --disable-features=SpareRendererForSitePerProcess --lang=en-US --app-path=/private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/9F9ACA3F-BEF3-41E3-B044-F3BB2DF98A66/d/GitHub Desktop.app/Contents/Resources/app --enable-experimental-web-platform-features --node-integration --no-sandbox --no-zygote --background-color=#fff --disable-blink-features=Auxclick --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=15938151616803105819 --renderer-client-id=5 --no-v8-untrusted-code-mitigations
58423 ??         0:00.09 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
58545 ??         0:02.50 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
58694 ??         4:35.29 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 133 -isForBrowser -prefsLen 11541 -prefMapSize 224760 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -sbAllowAudio -sbAllowWindowServer -parentBuildID 20200720193547 -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/austinkehrer/Library/Application Support/Firefox/Profiles/qf0js5yk.default-release 494 gecko-crash-server-pipe.494 org.mozilla.machname.385684784 tab
58735 ??         0:01.07 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 138 -isForBrowser -prefsLen 11612 -prefMapSize 224760 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -sbAllowAudio -sbAllowWindowServer -parentBuildID 20200720193547 -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/austinkehrer/Library/Application Support/Firefox/Profiles/qf0js5yk.default-release 494 gecko-crash-server-pipe.494 org.mozilla.machname.2070283441 tab
58736 ??         0:02.71 /Applications/Betternet VPN.app/Contents/MacOS/Betternet VPN
58738 ??         0:00.39 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
58740 ??         0:00.05 /usr/libexec/neagent
58761 ??         0:00.46 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/WorkflowServiceRunner.xpc/Contents/MacOS/WorkflowServiceRunner
58794 ??         0:00.02 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine steam.exe -no-cef-sandbox ^M
58798 ??         3:48.29 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader steam.exe -no-cef-sandbox ^M 
58802 ??         3:03.97 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wineserver
58810 ??         0:00.00 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\windows\system32\services.exe
58812 ??         0:46.50 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\windows\system32\services.exe 
58814 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\windows\system32\winedevice.exe
58816 ??         0:00.06 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\windows\system32\winedevice.exe 
58818 ??         0:00.00 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\windows\system32\plugplay.exe
58820 ??         0:00.05 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\windows\system32\plugplay.exe 
58822 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\windows\system32\winedevice.exe
58824 ??         1:05.96 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\windows\system32\winedevice.exe 
58827 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\windows\system32\explorer.exe /desktop
58829 ??         0:01.98 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\windows\system32\explorer.exe /desktop 
58832 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe -lang=en_US -cachedir=C:\users\crossover\Local Settings\Application Data\Steam\htmlcache -steampid=8 -buildid=1596217132 -steamid=0 -steamuniverse=Public -clientui=C:\Program Files\Steam\clientui --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --enable-media-stream --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --disable-direct-write --disablehighdpi --force-device-scale-factor=1 --device-scale-factor=1 --no-sandbox --log-file=C:\Program Files\Steam\logs\cef_log.txt --no-sandbox --in-process-gpu
58834 ??         0:10.51 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe -lang=en_US -cachedir=C:\users\crossover\Local Settings\Application Data\Steam\htmlcache -steampid=8 -buildid=1596217132 -steamid=0 -steamuniverse=Public -clientui=C:\Program Files\Steam\clientui --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --enable-media-stream --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --disable-direct-write --disablehighdpi --force-device-scale-factor=1 --device-scale-factor=1 --no-sandbox --log-file=C:\Program Files\Steam\logs\cef_log.txt --no-sandbox --in-process-gpu 
58935 ??         0:10.04 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
58942 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=utility --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --lang=en-US --service-sandbox-type=network --no-sandbox --use-gl=swiftshader-webgl --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --lang=en-US --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --log-file=C:\Program Files\Steam\logs\cef_log.txt --service-request-channel-token=16805541341196299354 --mojo-platform-channel-handle=952 /prefetch:8 --no-sandbox --in-process-gpu
58944 ??         0:02.40 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=utility --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --lang=en-US --service-sandbox-type=network --no-sandbox --use-gl=swiftshader-webgl --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --lang=en-US --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --log-file=C:\Program Files\Steam\logs\cef_log.txt --service-request-channel-token=16805541341196299354 --mojo-platform-channel-handle=952 /prefetch:8 --no-sandbox --in-process-gpu 
58945 ??         0:01.22 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
58946 ??         0:01.20 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
58955 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=9043533219766040021 --renderer-client-id=5 --mojo-platform-channel-handle=1244 /prefetch:1 --no-sandbox --in-process-gpu
58957 ??         0:01.22 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=9043533219766040021 --renderer-client-id=5 --mojo-platform-channel-handle=1244 /prefetch:1 --no-sandbox --in-process-gpu 
58959 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=18311510904950975038 --renderer-client-id=6 --mojo-platform-channel-handle=1280 /prefetch:1 --no-sandbox --in-process-gpu
58961 ??         0:09.09 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=18311510904950975038 --renderer-client-id=6 --mojo-platform-channel-handle=1280 /prefetch:1 --no-sandbox --in-process-gpu 
58967 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=17298751605137076653 --renderer-client-id=8 --mojo-platform-channel-handle=1400 /prefetch:1 --no-sandbox --in-process-gpu
58969 ??         0:03.57 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\bin\cef\cef.win7\steamwebhelper.exe --type=renderer --no-sandbox --force-device-scale-factor=1 --log-file=C:\Program Files\Steam\logs\cef_log.txt --use-gl=swiftshader-webgl --field-trial-handle=940,7323200292105519164,2013104479206298805,131072 --disable-features=CalculateNativeWinOcclusion,MimeHandlerViewInCrossProcessFrame --disable-gpu-compositing --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=C:\Program Files\Steam\logs\cef_log.txt --product-version=Valve Steam Client --force-device-scale-factor=1 --disablehighdpi --disablehighdpi --buildid=1596217132 --steamid=0 --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=17298751605137076653 --renderer-client-id=8 --mojo-platform-channel-handle=1400 /prefetch:1 --no-sandbox --in-process-gpu 
59142 ??         0:00.59 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
59189 ??         0:37.45 /private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/E80F5A0B-D29A-4E2D-BEA0-33E94A42E050/d/Atom.app/Contents/Frameworks/Atom Helper.app/Contents/MacOS/Atom Helper --type=renderer --no-sandbox --enable-experimental-web-platform-features --enable-features=SharedArrayBuffer --disable-features=MacV2Sandbox --service-pipe-token=17149179679361130876 --lang=en-US --app-path=/private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/E80F5A0B-D29A-4E2D-BEA0-33E94A42E050/d/Atom.app/Contents/Resources/app.asar --user-agent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Atom/1.45.0 Chrome/69.0.3497.128 Electron/4.2.7 Safari/537.36 --node-integration=true --webview-tag=true --no-sandbox --background-color=#fff --disable-blink-features=Auxclick --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=17149179679361130876 --renderer-client-id=10
59283 ??         0:01.27 /private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/E80F5A0B-D29A-4E2D-BEA0-33E94A42E050/d/Atom.app/Contents/Frameworks/Atom Helper.app/Contents/MacOS/Atom Helper --type=renderer --no-sandbox --enable-experimental-web-platform-features --enable-features=SharedArrayBuffer --disable-features=MacV2Sandbox --service-pipe-token=18063003716906585714 --lang=en-US --app-path=/private/var/folders/6k/_v17m6qs16q4rywg6wdrxld00000gn/T/AppTranslocation/E80F5A0B-D29A-4E2D-BEA0-33E94A42E050/d/Atom.app/Contents/Resources/app.asar --user-agent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Atom/1.45.0 Chrome/69.0.3497.128 Electron/4.2.7 Safari/537.36 --node-integration=true --webview-tag=true --no-sandbox --background-color=#fff --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=18063003716906585714 --renderer-client-id=12
59375 ??         0:00.01 /bin/bash /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine-preloader /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/wine C:\Program Files\Steam\steamapps\common\Skyrim\\TESV.exe
59377 ??         4:03.07 /Users/austinkehrer/Applications/Games.localized/The Elder Scrolls V Skyrim Legendary Edition.app/Contents/Frameworks/wswine.bundle/lib/../bin/The Elder Scrolls V Skyrim Legendary Edition58574142Wine-preloader C:\Program Files\Steam\steamapps\common\Skyrim\\TESV.exe 
59388 ??         0:06.00 /Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor
59389 ??         0:13.80 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
59524 ??         0:00.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59563 ??         0:00.22 /System/Library/Frameworks/QuickLook.framework/Resources/quicklookd.app/Contents/MacOS/quicklookd
59565 ??         0:00.28 /System/Library/Frameworks/QuickLook.framework/Versions/A/Resources/quicklookd.app/Contents/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
59571 ??         0:01.11 /Applications/Right Click Booster.app/Contents/MacOS/Right Click Booster
59572 ??         0:00.12 /System/Library/CoreServices/ScriptMonitor.app/Contents/MacOS/ScriptMonitor
59582 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59585 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59588 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59590 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59592 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59594 ??         0:00.16 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59595 ??         0:00.27 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59596 ??         0:00.16 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59614 ??         0:02.60 /Applications/TextEdit.app/Contents/MacOS/TextEdit
59617 ??         0:00.31 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
59628 ??         0:00.21 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59634 ??         0:00.09 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
59635 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59636 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
59650 ??         0:00.46 /System/Library/Frameworks/AddressBook.framework/Versions/A/Helpers/AddressBookSourceSync.app/Contents/MacOS/AddressBookSourceSync
59652 ??         0:00.60 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.mdworker.bundles
59658 ??         0:00.15 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
59390 ttys000    0:00.05 login -pf austinkehrer
59391 ttys000    0:00.52 -bash
59661 ttys000    0:00.01 ps -x
